id	name	org	league	gender	birthday	period	birthplace
hiro-shibata	HIRO柴田	JPML	A1	male	1976/02/16	第16期	神奈川県川崎市
gaasu	ガース	JPML	E1①	male	07/08	第22期	東京
kawaimegumi	かわいめぐみ	JPML	—	female	08/17	第34期	北海道
kusanoiori	くさのいおり	JPML	—	female	02/12	第21期	東京
gurifin	グリフィン	JPML	—	male	01/18	第40期	東京
kenesutokuda	ケネス徳田	JPML	C1	male	07/22	第29期	東京
kochan	こうちゃん	JPML	E3①	male	11/28	第40期	東京
kobarishin	こばりしん	JPML	E2②	male	05/27	第28期	東京
sakuramio	さくら美緒	JPML	C3	female	07/07	第34期	東京
jien	ジェン	JPML	E1②	female	03/01	第22期	東京
sukaruriipaaeiji	スカルリーパーA-Ji	JPML	—	male	11/13	第27期	九州
daniimoreno	ダニーモレノ	JPML	D1②	female	12/11	第35期	東京
dump_ohashi	ダンプ大橋	JPML	A2	male	07/29	第18期	東京
chappuman	チャップマン	JPML	E3①	male	11/02	第42期	東京
tomotakemasaharu	ともたけ雅晴	JPML	B2	male	08/28	第8期	東京
porori	ポロリ	JPML	E2②	male	04/08	第37期	東京
ruuko	るうこ	JPML	E2②	female	01/18	第41期	東京
akutsu	阿久津翔太	JPML	A1	male	1996/04/23	第34期	茨城県日立市
abekenichi	阿部謙一	JPML	D2②	male	01/03	第28期	東京
abejunpei	阿部純平	JPML	—	male	03/27	第40期	九州
abetatsuya	阿部竜也	JPML	E2①	male		第38期	九州
aberyuunosuke	阿部龍之介	JPML	E2①	male	08/12	第41期	東京
taku_ayukawa	鮎川卓	JPML	A2	male	05/26	第19期	東京
yasugahirahiroki	安ヶ平浩希	JPML	—	male		第29期	東北
anjourui	安城るい	JPML	—	female	11/30	第29期	北陸
yasudamarina	安田麻里菜	JPML	—	female	05/30	第22期	東京
yasudareika	安田玲香	JPML	—	female	04/26	第41期	関西
andoufumitaka	安東郁敬	JPML	D3②	male	12/21	第41期	東京
andouhironobu	安東裕允	JPML	—	male	01/07	第18期	九州
andourina	安藤りな	JPML	—	female	12/23	第35期	北海道
andouginichi	安藤銀一	JPML	—	male	09/09	第37期	北関東
andouhideyuki	安藤秀行	JPML	E3①	male	03/31	第42期	関西
andoudaiki	安藤大貴	JPML	—	male	11/17	第28期	中部
andoutomokazu	安藤友一	JPML	D1①	male	04/05	第23期	東京
andoushou	安藤翔	JPML	D2①	male	10/07	第35期	東京
abekumiko	安部久美子	JPML	—	female	10/20	第34期	九州
abehayato	安部颯斗	JPML	D2②	male	02/09	第37期	静岡
yasumotokirari	安本きらり	JPML	E3②	female	07/23	第41期	東京
asatoseiryuu	安里静竜	JPML	—	male	07/17	第42期	沖縄
yasuraokamakoto	安良岡真功	JPML	—	male	05/21	第35期	中部
byonsan_an	安秉参	JPML	B1	male	03/25	第23期	東京
iikuuga	伊井功雅	JPML	D1①	male	11/05	第28期	東京
iganorio	伊賀則夫	JPML	D1①	male	11/10	第20期	東京
iharatatsuya	伊原達矢	JPML	—	male	07/06	第29期	関西
date	伊達朱里紗	JPML	C1	female	1991/05/10	第30期	兵庫県三田市
itouhironori	伊東宏倫	JPML	D3①	male	09/11	第20期	東京
itoukyousuke	伊藤享祐	JPML	—	male	08/11	第40期	北海道
itoukousuke	伊藤康介	JPML	E1①	male	09/28	第41期	東京
itoushunsuke	伊藤俊介	JPML	D1②	male	05/03	第37期	東京
